Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2005-01-03,5.042580604553223,5.065714850087565,4.862229994648758,4.910489736265309,633134232
2005-01-04,4.83834981918335,5.0480535078735365,4.812977368804077,5.009993647318434,549685764
2005-01-05,4.813724040985107,4.898051926752742,4.781882987107414,4.812230958340789,329134536
2005-01-06,4.690338611602783,4.873175808792353,4.669692361346305,4.852778405622165,415068516
2005-01-07,4.82218074798584,4.832131313695254,4.696060301934249,4.742329745191059,386129484
2005-01-10,4.852280139923096,4.927902634951789,4.771931920322117,4.838349443315327,301282416
2005-01-11,4.814468860626221,4.918202074367766,4.805513683279195,4.866210569956585,278069652
2005-01-12,4.860240936279297,4.873922787308234,4.7388471547681625,4.8341214697645025,326784888
2005-01-13,4.858996868133545,4.9102418314786505,4.827155816107694,4.860240629603651,273702024
2005-01-14,4.974420070648193,4.9754154588975705,4.829145525623627,4.87566333647785,385226388
2005-01-18,5.072183609008789,5.100044530340883,4.941833232003207,4.999297004368401,526377096
2005-01-19,4.908001899719238,5.107009410384198,4.89332608408609,5.090839090303944,449857692
2005-01-20,4.823922157287598,4.8818826733559435,4.776160579927985,4.788598194452183,359703936
2005-01-21,4.683622360229492,4.8597430476378936,4.679642229022554,4.839344697454425,369965664
2005-01-24,4.495561599731445,4.709742158953893,4.4856115080018775,4.693821632991016,560347092
2005-01-25,4.406007766723633,4.533372917689977,4.385361516748596,4.525909401180796,425941632
2005-01-26,4.707503795623779,4.7117327744873725,4.4565061739592595,4.45949139127409,491823684
2005-01-27,4.678647041320801,4.698049528078494,4.607004683782367,4.69556247946322,264830904
2005-01-28,4.734867095947266,4.843325569425949,4.635363800555239,4.726906832315904,487839672
2005-01-31,4.866209983825684,4.884618978475098,4.769195179256216,4.818200038667593,383484132
2005-02-01,4.773672580718994,4.89208160969769,4.742081324239491,4.835364855109206,752806440
2005-02-02,5.123427391052246,5.393081439318443,5.0662138850995495,5.361986926216229,1310660028
2005-02-03,5.24531888961792,5.307757705534317,5.119695664503188,5.124173490144939,519004476
2005-02-04,5.083625316619873,5.167954613306355,5.039843873282491,5.136113563606441,592179228
2005-02-07,4.876410484313965,5.134372491147833,4.863475175406892,5.106014824384056,517897584
2005-02-08,4.941336154937744,4.97566520259712,4.839096027204508,4.899544538740582,458740800
2005-02-09,4.765712261199951,5.014968404708137,4.71297563868283,4.994072833370327,686173140
2005-02-10,4.676158905029297,4.781383762643818,4.608248307428416,4.775413329363433,758548692
2005-02-11,4.661732196807861,4.784120884358647,4.628646435506193,4.6433236739621995,524115360
2005-02-14,4.800787925720215,4.803026601543068,4.502526913327645,4.54854703520797,1540945512
